title,image_url,rating,price,result_type
Apple 2026 MacBook Neo 13″ Laptop with A18...,https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,4.7 out of 5 stars,₹65700.00,Ad
Apple 2026 MacBook Pro Laptop with M5 Max...,https://m.media-amazon.com/images/I/61h78UMEXjL._AC_UY218_.jpg,4.3 out of 5 stars,₹499900.00,Ad
"Acer Aspire Lite 12th Gen, Intel Core i5-12450H,...",https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg,4.0 out of 5 stars,₹49990.00,Organic
"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor,...",https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg,4.0 out of 5 stars,₹45990.00,Organic
𝗛𝗣𝗲𝗹𝗶𝘁𝗲𝗯𝗼𝗼𝗸Model 440 G3 Business Laptop | InteI i5...,https://m.media-amazon.com/images/I/61BYfPSEqWL._AC_UY218_.jpg,,₹23900.00,Organic
Lenovo V15 G4 AMD Athlon Silver 7120U Laptop...,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,4.0 out of 5 stars,₹41999.00,Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop...",https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,4.2 out of 5 stars,₹50150.00,Organic
HP 255R G10 Notebook (AMD Athlon Silver 7120U...,https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,,₹40890.00,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen...",https://m.media-amazon.com/images/I/61JUHhbEMxL._AC_UY218_.jpg,4.2 out of 5 stars,₹50990.00,Organic
𝗟𝗲𝗻𝗼𝘃𝗼Model L14 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |...,https://m.media-amazon.com/images/I/51z1n2GulaL._AC_UY218_.jpg,,₹23995.00,Organic
"Primebook 2 Pro (2026) | 8GB RAM, 128GB...",https://m.media-amazon.com/images/I/51CIIx6l+VL._AC_UY218_.jpg,4.3 out of 5 stars,₹24980.00,Ad
"Primebook 2 Max (2026) | 8GB RAM, 256GB...",https://m.media-amazon.com/images/I/51JTBldTCXL._AC_UY218_.jpg,4.3 out of 5 stars,₹28990.00,Ad
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel...",https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,4.1 out of 5 stars,₹46490.00,Organic
"BrowseBook 14.1"" FHD IPS Laptop | Best Student...",https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,2.7 out of 5 stars,₹21990.00,Organic
𝗗𝗲𝗹𝗹Laptop Model 5420 |𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB...,https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,1.0 out of 5 stars,₹28999.00,Organic
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6""...",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,₹47461.00,Organic
Lenovo V15 G4 AMD Ryzen 5 7520U 15.6...,https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,4.0 out of 5 stars,₹51690.00,Organic
"Dell 15, Intel Core i3/Core 3 14th Gen-100U,...",https://m.media-amazon.com/images/I/71I4NoKj-oL._AC_UY218_.jpg,3.8 out of 5 stars,₹49990.00,Organic
Acer Aspire 3 Laptop Intel Core Celeron N4500...,https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg,3.6 out of 5 stars,₹36990.00,Organic
Lenovo Smartchoice IdeaPad Slim 3 13th Gen Intel...,https://m.media-amazon.com/images/I/61OT67QVEgL._AC_UY218_.jpg,3.9 out of 5 stars,₹46990.00,Organic
Apple 2026 MacBook Air 13″ Laptop with M5...,https://m.media-amazon.com/images/I/71eX66ytH+L._AC_UY218_.jpg,4.6 out of 5 stars,₹112700.00,Ad
"Lenovo ThinkBook 16, Intel Core Ultra 9 185H,...",https://m.media-amazon.com/images/I/511EukRBJzL._AC_UY218_.jpg,5.0 out of 5 stars,₹94990.00,Ad
Lenovo Ideapad 5 2-in-1 13th Gen Core i5-13420H...,https://m.media-amazon.com/images/I/61XOR7fpbVL._AC_UY218_.jpg,4.2 out of 5 stars,₹79490.00,Organic
"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U...",https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,4.2 out of 5 stars,₹52690.00,Organic
